GENE	ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	gene_names
GRB2	NA	hsa05034	Alcoholism	Mar-22	188/8848	0.010798334	0.024135849	0.008975828	2885/3065/5594	3	GRB2/HDAC1/MAPK1
GRB2	NA	hsa04062	Chemokine signaling pathway	Mar-22	193/8848	0.011594465	0.024509819	0.009114903	2885/5594/6714	3	GRB2/MAPK1/SRC
GRB2	NA	hsa05221	Acute myeloid leukemia	Feb-22	68/8848	0.012174976	0.025415262	0.009451626	2885/5594	2	GRB2/MAPK1
GRB2	NA	hsa04662	B cell receptor signaling pathway	Feb-22	91/8848	0.021145947	0.038806298	0.014431589	2885/5594	2	GRB2/MAPK1
GRB2	NA	hsa05231	Choline metabolism in cancer	Feb-22	99/8848	0.024752372	0.043512065	0.016181606	2885/5594	2	GRB2/MAPK1
HDAC1	BP	GO:0071560	cellular response to transforming growth factor beta stimulus	Aug-29	274/18614	6.54E-09	6.26E-06	3.33E-06	1387/2033/2534/3065/4087/4088/6714/7157	8	CREBBP/EP300/FYN/HDAC1/SMAD2/SMAD3/SRC/TP53
HDAC1	BP	GO:0071559	response to transforming growth factor beta	Aug-29	280/18614	7.74E-09	6.26E-06	3.33E-06	1387/2033/2534/3065/4087/4088/6714/7157	8	CREBBP/EP300/FYN/HDAC1/SMAD2/SMAD3/SRC/TP53
HDAC1	BP	GO:0007179	transforming growth factor beta receptor signaling pathway	Jul-29	218/18614	3.44E-08	9.27E-06	4.93E-06	1387/2033/3065/4087/4088/6714/7157	7	CREBBP/EP300/HDAC1/SMAD2/SMAD3/SRC/TP53
HDAC1	BP	GO:0017015	regulation of transforming growth factor beta receptor signaling pathway	Jun-29	148/18614	9.32E-08	2.12E-05	1.13E-05	1387/2033/3065/4087/4088/7157	6	CREBBP/EP300/HDAC1/SMAD2/SMAD3/TP53
HDAC1	BP	GO:1903844	regulation of cellular response to transforming growth factor beta stimulus	Jun-29	151/18614	1.05E-07	2.12E-05	1.13E-05	1387/2033/3065/4087/4088/7157	6	CREBBP/EP300/HDAC1/SMAD2/SMAD3/TP53
HDAC1	BP	GO:0048511	rhythmic process	Jul-29	303/18614	3.24E-07	4.37E-05	2.32E-05	1387/1457/2033/2099/3065/6714/7157	7	CREBBP/CSNK2A1/EP300/ESR1/HDAC1/SRC/TP53
HDAC1	BP	GO:0030518	intracellular steroid hormone receptor signaling pathway	May-29	115/18614	8.70E-07	9.37E-05	4.98E-05	367/2033/2099/3065/6714	5	AR/EP300/ESR1/HDAC1/SRC
HDAC1	BP	GO:2001233	regulation of apoptotic signaling pathway	Jul-29	381/18614	1.51E-06	1.52E-04	8.09E-05	367/1457/1984/3065/9821/6714/7157	7	AR/CSNK2A1/EIF5A/HDAC1/RB1CC1/SRC/TP53
HDAC1	BP	GO:0043401	steroid hormone mediated signaling pathway	May-29	135/18614	1.92E-06	1.81E-04	9.62E-05	367/2033/2099/3065/6714	5	AR/EP300/ESR1/HDAC1/SRC
HDAC1	BP	GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway	Jul-29	398/18614	2.01E-06	1.81E-04	9.62E-05	1387/2033/3065/4087/4088/6714/7157	7	CREBBP/EP300/HDAC1/SMAD2/SMAD3/SRC/TP53
HDAC1	BP	GO:0033143	regulation of intracellular steroid hormone receptor signaling pathway	Apr-29	72/18614	4.54E-06	3.19E-04	1.70E-04	367/2033/3065/6714	4	AR/EP300/HDAC1/SRC
HDAC1	BP	GO:0090092	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	Jun-29	301/18614	5.91E-06	3.67E-04	1.95E-04	1387/2033/3065/4087/4088/7157	6	CREBBP/EP300/HDAC1/SMAD2/SMAD3/TP53
HDAC1	BP	GO:0097193	intrinsic apoptotic signaling pathway	Jun-29	301/18614	5.91E-06	3.67E-04	1.95E-04	1026/1984/2033/3065/6714/7157	6	CDKN1A/EIF5A/EP300/HDAC1/SRC/TP53
HDAC1	BP	GO:0036120	cellular response to platelet-derived growth factor stimulus	Mar-29	24/18614	6.73E-06	3.89E-04	2.07E-04	2534/3065/6714	3	FYN/HDAC1/SRC
HDAC1	BP	GO:0007492	endoderm development	Apr-29	83/18614	8.02E-06	4.18E-04	2.22E-04	2885/3065/4087/4088	4	GRB2/HDAC1/SMAD2/SMAD3
HDAC1	BP	GO:0036119	response to platelet-derived growth factor	Mar-29	26/18614	8.63E-06	4.25E-04	2.26E-04	2534/3065/6714	3	FYN/HDAC1/SRC
HDAC1	BP	GO:0009755	hormone-mediated signaling pathway	May-29	192/18614	1.08E-05	4.97E-04	2.64E-04	367/2033/2099/3065/6714	5	AR/EP300/ESR1/HDAC1/SRC
HDAC1	BP	GO:0090287	regulation of cellular response to growth factor stimulus	Jun-29	345/18614	1.29E-05	5.62E-04	2.99E-04	1387/2033/3065/4087/4088/7157	6	CREBBP/EP300/HDAC1/SMAD2/SMAD3/TP53
HDAC1	BP	GO:0071383	cellular response to steroid hormone stimulus	May-29	209/18614	1.62E-05	6.39E-04	3.40E-04	367/2033/2099/3065/6714	5	AR/EP300/ESR1/HDAC1/SRC
HDAC1	BP	GO:2001234	negative regulation of apoptotic signaling pathway	May-29	233/18614	2.74E-05	9.82E-04	5.22E-04	367/1457/3065/9821/6714	5	AR/CSNK2A1/HDAC1/RB1CC1/SRC
HDAC1	BP	GO:0030521	androgen receptor signaling pathway	Mar-29	47/18614	5.26E-05	0.001605213	8.53E-04	367/2033/3065	3	AR/EP300/HDAC1
HDAC1	BP	GO:0030522	intracellular receptor signaling pathway	May-29	299/18614	8.95E-05	0.002336435	0.001241878	367/2033/2099/3065/6714	5	AR/EP300/ESR1/HDAC1/SRC
HDAC1	BP	GO:2001242	regulation of intrinsic apoptotic signaling pathway	Apr-29	173/18614	1.43E-04	0.003117301	0.001656929	1984/3065/6714/7157	4	EIF5A/HDAC1/SRC/TP53
HDAC1	BP	GO:0052548	regulation of endopeptidase activity	May-29	336/18614	1.55E-04	0.003246445	0.001725573	1457/2534/3065/4088/6714	5	CSNK2A1/FYN/HDAC1/SMAD3/SRC
HDAC1	BP	GO:0048545	response to steroid hormone	May-29	339/18614	1.61E-04	0.003257009	0.001731188	367/2033/2099/3065/6714	5	AR/EP300/ESR1/HDAC1/SRC
HDAC1	BP	GO:0052547	regulation of peptidase activity	May-29	425/18614	4.58E-04	0.006014484	0.00319686	1457/2534/3065/4088/6714	5	CSNK2A1/FYN/HDAC1/SMAD3/SRC
HDAC1	BP	GO:0048863	stem cell differentiation	Apr-29	247/18614	5.54E-04	0.00672641	0.003575267	2099/3065/5594/7157	4	ESR1/HDAC1/MAPK1/TP53
HDAC1	BP	GO:0042659	regulation of cell fate specification	Feb-29	25/18614	6.88E-04	0.007825603	0.004159518	367/3065	2	AR/HDAC1
HDAC1	BP	GO:0006476	protein deacetylation	Mar-29	116/18614	7.66E-04	0.008303657	0.004413616	2033/3065/7157	3	EP300/HDAC1/TP53
HDAC1	BP	GO:0060765	regulation of androgen receptor signaling pathway	Feb-29	28/18614	8.64E-04	0.0089494	0.004756846	2033/3065	2	EP300/HDAC1
HDAC1	BP	GO:0045165	cell fate commitment	Apr-29	281/18614	8.97E-04	0.00907924	0.00482586	367/3065/4087/7157	4	AR/HDAC1/SMAD2/TP53
HDAC1	BP	GO:0035601	protein deacylation	Mar-29	127/18614	9.96E-04	0.009519221	0.005059721	2033/3065/7157	3	EP300/HDAC1/TP53
HDAC1	BP	GO:0098732	macromolecule deacylation	Mar-29	131/18614	0.00108881	0.01011217	0.00537489	2033/3065/7157	3	EP300/HDAC1/TP53
HDAC1	BP	GO:0030111	regulation of Wnt signaling pathway	Apr-29	338/18614	0.001772034	0.013901007	0.007388758	1457/3065/4088/6714	4	CSNK2A1/HDAC1/SMAD3/SRC
HDAC1	BP	GO:0010453	regulation of cell fate commitment	Feb-29	42/18614	0.001941427	0.014939743	0.007940874	367/3065	2	AR/HDAC1
HDAC1	BP	GO:0048660	regulation of smooth muscle cell proliferation	Mar-29	176/18614	0.002534251	0.017962061	0.009547318	1026/3065/6714	3	CDKN1A/HDAC1/SRC
HDAC1	BP	GO:0048659	smooth muscle cell proliferation	Mar-29	180/18614	0.002700744	0.018893519	0.010042412	1026/3065/6714	3	CDKN1A/HDAC1/SRC
HDAC1	BP	GO:0019083	viral transcription	Feb-29	51/18614	0.002850098	0.019270953	0.010243029	2033/3065	2	EP300/HDAC1
HDAC1	BP	GO:0043124	negative regulation of I-kappaB kinase/NF-kappaB signaling	Feb-29	51/18614	0.002850098	0.019270953	0.010243029	2099/3065	2	ESR1/HDAC1
HDAC1	BP	GO:0040029	epigenetic regulation of gene expression	Mar-29	188/18614	0.003053708	0.019872984	0.010563024	2033/3065/7157	3	EP300/HDAC1/TP53
HDAC1	BP	GO:0006338	chromatin remodeling	Apr-29	402/18614	0.003319658	0.021203821	0.0112704	2033/2099/3065/7157	4	EP300/ESR1/HDAC1/TP53
HDAC1	BP	GO:0042733	embryonic digit morphogenesis	Feb-29	58/18614	0.003670231	0.022489469	0.011953756	1387/3065	2	CREBBP/HDAC1
HDAC1	BP	GO:0007623	circadian rhythm	Mar-29	207/18614	0.004002267	0.024012739	0.012763415	2033/3065/7157	3	EP300/HDAC1/TP53
HDAC1	BP	GO:0016055	Wnt signaling pathway	Apr-29	461/18614	0.00539908	0.029083044	0.015458418	1457/3065/4088/6714	4	CSNK2A1/HDAC1/SMAD3/SRC
HDAC1	BP	GO:0198738	cell-cell signaling by wnt	Apr-29	463/18614	0.005481916	0.029431148	0.015643445	1457/3065/4088/6714	4	CSNK2A1/HDAC1/SMAD3/SRC
HDAC1	BP	GO:0016570	histone modification	Apr-29	475/18614	0.005996982	0.031161166	0.016562996	1387/2033/3065/7157	4	CREBBP/EP300/HDAC1/TP53
HDAC1	BP	GO:0033002	muscle cell proliferation	Mar-29	249/18614	0.006684519	0.033237488	0.017666617	1026/3065/6714	3	CDKN1A/HDAC1/SRC
HDAC1	BP	GO:0043122	regulation of I-kappaB kinase/NF-kappaB signaling	Mar-29	258/18614	0.007369682	0.035266347	0.01874501	2099/2534/3065	3	ESR1/FYN/HDAC1
HDAC1	BP	GO:0051851	modulation by host of symbiont process	Feb-29	83/18614	0.007376253	0.035266347	0.01874501	2033/3065	2	EP300/HDAC1
HDAC1	BP	GO:0060828	regulation of canonical Wnt signaling pathway	Mar-29	260/18614	0.007527405	0.035879491	0.019070913	3065/4088/6714	3	HDAC1/SMAD3/SRC
HDAC1	BP	GO:0016575	histone deacetylation	Feb-29	94/18614	0.009374867	0.042082737	0.022368104	3065/7157	2	HDAC1/TP53
HDAC1	BP	GO:0048661	positive regulation of smooth muscle cell proliferation	Feb-29	99/18614	0.010354541	0.044860425	0.02384452	3065/6714	2	HDAC1/SRC
HDAC1	BP	GO:2001243	negative regulation of intrinsic apoptotic signaling pathway	Feb-29	99/18614	0.010354541	0.044860425	0.02384452	3065/6714	2	HDAC1/SRC
HDAC1	BP	GO:0007249	I-kappaB kinase/NF-kappaB signaling	Mar-29	293/18614	0.01042313	0.04503684	0.023938289	2099/2534/3065	3	ESR1/FYN/HDAC1
HDAC1	BP	GO:0019080	viral gene expression	Feb-29	100/18614	0.010555722	0.045246808	0.024049893	2033/3065	2	EP300/HDAC1
HDAC1	BP	GO:0030512	negative regulation of transforming growth factor beta receptor signaling pathway	Feb-29	100/18614	0.010555722	0.045246808	0.024049893	3065/7157	2	HDAC1/TP53
HDAC1	CC	GO:0016581	NuRD complex	Feb-30	17/19518	3.06E-04	0.015268608	0.009806778	1457/3065	2	CSNK2A1/HDAC1
HDAC1	CC	GO:0090545	CHD-type complex	Feb-30	17/19518	3.06E-04	0.015268608	0.009806778	1457/3065	2	CSNK2A1/HDAC1
HDAC1	CC	GO:0016580	Sin3 complex	Feb-30	22/19518	5.18E-04	0.015268608	0.009806778	1457/3065	2	CSNK2A1/HDAC1
HDAC1	CC	GO:0070822	Sin3-type complex	Feb-30	22/19518	5.18E-04	0.015268608	0.009806778	1457/3065	2	CSNK2A1/HDAC1
HDAC1	MF	GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding	Sep-32	348/18369	5.42E-09	9.45E-07	4.03E-07	367/1387/2033/2099/3065/4087/4088/6714/7157	9	AR/CREBBP/EP300/ESR1/HDAC1/SMAD2/SMAD3/SRC/TP53
HDAC1	MF	GO:0001221	transcription coregulator binding	Jun-32	111/18369	3.39E-08	2.01E-06	8.56E-07	367/1387/2033/2099/3065/4088	6	AR/CREBBP/EP300/ESR1/HDAC1/SMAD3
HDAC1	MF	GO:0140297	DNA-binding transcription factor binding	Sep-32	478/18369	8.36E-08	3.72E-06	1.58E-06	367/1387/2033/2099/3065/4087/4088/6714/7157	9	AR/CREBBP/EP300/ESR1/HDAC1/SMAD2/SMAD3/SRC/TP53
HDAC1	MF	GO:0002039	p53 binding	Apr-32	67/18369	5.38E-06	1.92E-04	8.16E-05	1387/2033/3065/7157	4	CREBBP/EP300/HDAC1/TP53
HDAC1	MF	GO:0031490	chromatin DNA binding	Apr-32	118/18369	5.06E-05	8.19E-04	3.49E-04	1387/2033/3065/4088	4	CREBBP/EP300/HDAC1/SMAD3
HDAC1	MF	GO:1990841	promoter-specific chromatin binding	Mar-32	63/18369	1.78E-04	0.001756554	7.48E-04	3065/4088/7157	3	HDAC1/SMAD3/TP53
HDAC1	MF	GO:0051059	NF-kappaB binding	Feb-32	31/18369	0.001324689	0.007145292	0.003042348	2033/3065	2	EP300/HDAC1
HDAC1	MF	GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	Mar-32	131/18369	0.001511415	0.007686625	0.003272839	23536/978/3065	3	ADAT1/CDA/HDAC1
HDAC1	MF	GO:0001046	core promoter sequence-specific DNA binding	Feb-32	43/18369	0.002539157	0.010272045	0.004373668	3065/7157	2	HDAC1/TP53
HDAC1	MF	GO:0001222	transcription corepressor binding	Feb-32	45/18369	0.002777759	0.010757398	0.004580323	2099/3065	2	ESR1/HDAC1
HDAC1	NA	hsa04110	Cell cycle	Sep-22	158/8848	5.99E-11	1.00E-08	3.72E-09	246184/1026/1387/2033/3065/4087/4088/7157/7532	9	CDC26/CDKN1A/CREBBP/EP300/HDAC1/SMAD2/SMAD3/TP53/YWHAG
HDAC1	NA	hsa05203	Viral carcinogenesis	Sep-22	205/8848	6.19E-10	5.17E-08	1.92E-08	1026/1387/2033/2885/3065/5594/6714/7157/7532	9	CDKN1A/CREBBP/EP300/GRB2/HDAC1/MAPK1/SRC/TP53/YWHAG
HDAC1	NA	hsa04919	Thyroid hormone signaling pathway	Jul-22	122/8848	1.15E-08	3.19E-07	1.19E-07	1387/2033/2099/3065/5594/6714/7157	7	CREBBP/EP300/ESR1/HDAC1/MAPK1/SRC/TP53
HDAC1	NA	hsa05220	Chronic myeloid leukemia	Jun-22	77/8848	2.38E-08	5.68E-07	2.11E-07	1026/2885/3065/5594/4088/7157	6	CDKN1A/GRB2/HDAC1/MAPK1/SMAD3/TP53
HDAC1	NA	hsa04350	TGF-beta signaling pathway	Jun-22	108/8848	1.83E-07	2.78E-06	1.03E-06	1387/2033/3065/5594/4087/4088	6	CREBBP/EP300/HDAC1/MAPK1/SMAD2/SMAD3
HDAC1	NA	hsa05206	MicroRNAs in cancer	Jul-22	312/8848	6.85E-06	5.72E-05	2.13E-05	1026/1387/2033/2885/3065/5594/7157	7	CDKN1A/CREBBP/EP300/GRB2/HDAC1/MAPK1/TP53
HDAC1	NA	hsa05165	Human papillomavirus infection	Jul-22	333/8848	1.05E-05	8.36E-05	3.11E-05	1026/1387/2033/2885/3065/5594/7157	7	CDKN1A/CREBBP/EP300/GRB2/HDAC1/MAPK1/TP53
HDAC1	NA	hsa05016	Huntington disease	Jun-22	311/8848	8.32E-05	4.48E-04	1.67E-04	1387/2033/3065/4700/9821/7157	6	CREBBP/EP300/HDAC1/NDUFA6/RB1CC1/TP53
HDAC1	NA	hsa04330	Notch signaling pathway	Mar-22	62/8848	4.59E-04	0.001824653	6.79E-04	1387/2033/3065	3	CREBBP/EP300/HDAC1
HDAC1	NA	hsa03083	Polycomb repressive complex	Mar-22	83/8848	0.001077785	0.0035998	0.001338722	1387/2033/3065	3	CREBBP/EP300/HDAC1
HDAC1	NA	hsa05034	Alcoholism	Mar-22	188/8848	0.010798334	0.024135849	0.008975828	2885/3065/5594	3	GRB2/HDAC1/MAPK1
HDAC1	NA	hsa04613	Neutrophil extracellular trap formation	Mar-22	192/8848	0.011432575	0.024509819	0.009114903	3065/5594/6714	3	HDAC1/MAPK1/SRC
HDAC1	NA	hsa05202	Transcriptional misregulation in cancer	Mar-22	193/8848	0.011594465	0.024509819	0.009114903	1026/3065/7157	3	CDKN1A/HDAC1/TP53
HDAC1	NA	hsa05169	Epstein-Barr virus infection	Mar-22	203/8848	0.013287182	0.02673445	0.009942216	1026/3065/7157	3	CDKN1A/HDAC1/TP53
HDAC1	NA	hsa04110	Cell cycle	Sep-22	158/8848	5.99E-11	1.00E-08	3.72E-09	246184/1026/1387/2033/3065/4087/4088/7157/7532	9	CDC26/CDKN1A/CREBBP/EP300/HDAC1/SMAD2/SMAD3/TP53/YWHAG
HDAC1	NA	hsa05203	Viral carcinogenesis	Sep-22	205/8848	6.19E-10	5.17E-08	1.92E-08	1026/1387/2033/2885/3065/5594/6714/7157/7532	9	CDKN1A/CREBBP/EP300/GRB2/HDAC1/MAPK1/SRC/TP53/YWHAG
HDAC1	NA	hsa04919	Thyroid hormone signaling pathway	Jul-22	122/8848	1.15E-08	3.19E-07	1.19E-07	1387/2033/2099/3065/5594/6714/7157	7	CREBBP/EP300/ESR1/HDAC1/MAPK1/SRC/TP53
HDAC1	NA	hsa05220	Chronic myeloid leukemia	Jun-22	77/8848	2.38E-08	5.68E-07	2.11E-07	1026/2885/3065/5594/4088/7157	6	CDKN1A/GRB2/HDAC1/MAPK1/SMAD3/TP53
HDAC1	NA	hsa04350	TGF-beta signaling pathway	Jun-22	108/8848	1.83E-07	2.78E-06	1.03E-06	1387/2033/3065/5594/4087/4088	6	CREBBP/EP300/HDAC1/MAPK1/SMAD2/SMAD3
HDAC1	NA	hsa05206	MicroRNAs in cancer	Jul-22	312/8848	6.85E-06	5.72E-05	2.13E-05	1026/1387/2033/2885/3065/5594/7157	7	CDKN1A/CREBBP/EP300/GRB2/HDAC1/MAPK1/TP53
HDAC1	NA	hsa05165	Human papillomavirus infection	Jul-22	333/8848	1.05E-05	8.36E-05	3.11E-05	1026/1387/2033/2885/3065/5594/7157	7	CDKN1A/CREBBP/EP300/GRB2/HDAC1/MAPK1/TP53
HDAC1	NA	hsa05016	Huntington disease	Jun-22	311/8848	8.32E-05	4.48E-04	1.67E-04	1387/2033/3065/4700/9821/7157	6	CREBBP/EP300/HDAC1/NDUFA6/RB1CC1/TP53
HDAC1	NA	hsa04330	Notch signaling pathway	Mar-22	62/8848	4.59E-04	0.001824653	6.79E-04	1387/2033/3065	3	CREBBP/EP300/HDAC1
HDAC1	NA	hsa03083	Polycomb repressive complex	Mar-22	83/8848	0.001077785	0.0035998	0.001338722	1387/2033/3065	3	CREBBP/EP300/HDAC1
HDAC1	NA	hsa05034	Alcoholism	Mar-22	188/8848	0.010798334	0.024135849	0.008975828	2885/3065/5594	3	GRB2/HDAC1/MAPK1
HDAC1	NA	hsa04613	Neutrophil extracellular trap formation	Mar-22	192/8848	0.011432575	0.024509819	0.009114903	3065/5594/6714	3	HDAC1/MAPK1/SRC
HDAC1	NA	hsa05202	Transcriptional misregulation in cancer	Mar-22	193/8848	0.011594465	0.024509819	0.009114903	1026/3065/7157	3	CDKN1A/HDAC1/TP53
HDAC1	NA	hsa05169	Epstein-Barr virus infection	Mar-22	203/8848	0.013287182	0.02673445	0.009942216	1026/3065/7157	3	CDKN1A/HDAC1/TP53
MAPK1	BP	GO:0002757	immune response-activating signaling pathway	Aug-29	423/18614	1.88E-07	3.38E-05	1.79E-05	11119/1387/2033/2099/2534/2885/5594/6714	8	BTN3A1/CREBBP/EP300/ESR1/FYN/GRB2/MAPK1/SRC
MAPK1	BP	GO:0002764	immune response-regulating signaling pathway	Aug-29	450/18614	3.01E-07	4.37E-05	2.32E-05	11119/1387/2033/2099/2534/2885/5594/6714	8	BTN3A1/CREBBP/EP300/ESR1/FYN/GRB2/MAPK1/SRC
MAPK1	BP	GO:0002429	immune response-activating cell surface receptor signaling pathway	Jul-29	302/18614	3.17E-07	4.37E-05	2.32E-05	11119/1387/2033/2534/2885/5594/6714	7	BTN3A1/CREBBP/EP300/FYN/GRB2/MAPK1/SRC
MAPK1	BP	GO:0002768	immune response-regulating cell surface receptor signaling pathway	Jul-29	329/18614	5.65E-07	7.02E-05	3.73E-05	11119/1387/2033/2534/2885/5594/6714	7	BTN3A1/CREBBP/EP300/FYN/GRB2/MAPK1/SRC
MAPK1	BP	GO:0002253	activation of immune response	Aug-29	495/18614	6.20E-07	7.16E-05	3.81E-05	11119/1387/2033/2099/2534/2885/5594/6714	8	BTN3A1/CREBBP/EP300/ESR1/FYN/GRB2/MAPK1/SRC
MAPK1	BP	GO:0061180	mammary gland epithelium development	Apr-29	68/18614	3.61E-06	2.92E-04	1.55E-04	367/2099/5594/6714	4	AR/ESR1/MAPK1/SRC
MAPK1	BP	GO:0048732	gland development	Jul-29	441/18614	3.97E-06	2.92E-04	1.55E-04	367/2099/5594/9821/4087/4088/6714	7	AR/ESR1/MAPK1/RB1CC1/SMAD2/SMAD3/SRC
MAPK1	BP	GO:0031647	regulation of protein stability	Jun-29	322/18614	8.69E-06	4.25E-04	2.26E-04	1387/2033/5594/4088/6714/7157	6	CREBBP/EP300/MAPK1/SMAD3/SRC/TP53
MAPK1	BP	GO:1901653	cellular response to peptide	Jun-29	375/18614	2.06E-05	7.93E-04	4.22E-04	2534/2885/5594/6714/7157/7532	6	FYN/GRB2/MAPK1/SRC/TP53/YWHAG
MAPK1	BP	GO:0001701	in utero embryonic development	Jun-29	398/18614	2.88E-05	0.001012157	5.38E-04	367/2885/5594/4087/4088/7157	6	AR/GRB2/MAPK1/SMAD2/SMAD3/TP53
MAPK1	BP	GO:2000278	regulation of DNA biosynthetic process	Apr-29	121/18614	3.56E-05	0.001223397	6.50E-04	1026/5594/6714/7157	4	CDKN1A/MAPK1/SRC/TP53
MAPK1	BP	GO:0051972	regulation of telomerase activity	Mar-29	47/18614	5.26E-05	0.001605213	8.53E-04	5594/6714/7157	3	MAPK1/SRC/TP53
MAPK1	BP	GO:0030879	mammary gland development	Apr-29	136/18614	5.62E-05	0.001650943	8.78E-04	367/2099/5594/6714	4	AR/ESR1/MAPK1/SRC
MAPK1	BP	GO:0048009	insulin-like growth factor receptor signaling pathway	Mar-29	50/18614	6.34E-05	0.001830608	9.73E-04	367/2885/5594	3	AR/GRB2/MAPK1
MAPK1	BP	GO:0072584	caveolin-mediated endocytosis	Feb-29	11/18614	1.28E-04	0.002908472	0.001545931	5594/6714	2	MAPK1/SRC
MAPK1	BP	GO:0070661	leukocyte proliferation	May-29	348/18614	1.82E-04	0.003463376	0.001840877	11119/1026/2534/5594/7157	5	BTN3A1/CDKN1A/FYN/MAPK1/TP53
MAPK1	BP	GO:0071897	DNA biosynthetic process	Apr-29	198/18614	2.39E-04	0.004206819	0.002236037	1026/5594/6714/7157	4	CDKN1A/MAPK1/SRC/TP53
MAPK1	BP	GO:0006206	pyrimidine nucleobase metabolic process	Feb-29	15/18614	2.43E-04	0.004222673	0.002244464	978/5594	2	CDA/MAPK1
MAPK1	BP	GO:0050851	antigen receptor-mediated signaling pathway	Apr-29	201/18614	2.54E-04	0.004314593	0.002293322	11119/2534/2885/5594	4	BTN3A1/FYN/GRB2/MAPK1
MAPK1	BP	GO:0032869	cellular response to insulin stimulus	Apr-29	211/18614	3.05E-04	0.004863024	0.002584828	2885/5594/6714/7532	4	GRB2/MAPK1/SRC/YWHAG
MAPK1	BP	GO:2000641	regulation of early endosome to late endosome transport	Feb-29	19/18614	3.94E-04	0.005539882	0.002944596	5594/6714	2	MAPK1/SRC
MAPK1	BP	GO:0006979	response to oxidative stress	May-29	434/18614	5.04E-04	0.006409007	0.003406559	2534/5594/4700/6714/7157	5	FYN/MAPK1/NDUFA6/SRC/TP53
MAPK1	BP	GO:0048863	stem cell differentiation	Apr-29	247/18614	5.54E-04	0.00672641	0.003575267	2099/3065/5594/7157	4	ESR1/HDAC1/MAPK1/TP53
MAPK1	BP	GO:0048568	embryonic organ development	May-29	453/18614	6.12E-04	0.007114114	0.003781342	2885/5594/4087/4088/7157	5	GRB2/MAPK1/SMAD2/SMAD3/TP53
MAPK1	BP	GO:0071216	cellular response to biotic stimulus	Apr-29	264/18614	7.11E-04	0.007973549	0.004238155	978/5594/6714/7157	4	CDA/MAPK1/SRC/TP53
MAPK1	BP	GO:0033598	mammary gland epithelial cell proliferation	Feb-29	26/18614	7.44E-04	0.008126193	0.00431929	2099/5594	2	ESR1/MAPK1
MAPK1	BP	GO:0032868	response to insulin	Apr-29	272/18614	7.94E-04	0.008500733	0.004518368	2885/5594/6714/7532	4	GRB2/MAPK1/SRC/YWHAG
MAPK1	BP	GO:0007611	learning or memory	Apr-29	276/18614	8.39E-04	0.00885882	0.004708701	2033/2534/5594/6714	4	EP300/FYN/MAPK1/SRC
MAPK1	BP	GO:0030878	thyroid gland development	Feb-29	29/18614	9.27E-04	0.00907924	0.00482586	5594/4088	2	MAPK1/SMAD3
MAPK1	BP	GO:1903649	regulation of cytoplasmic transport	Feb-29	29/18614	9.27E-04	0.00907924	0.00482586	5594/6714	2	MAPK1/SRC
MAPK1	BP	GO:0034599	cellular response to oxidative stress	Apr-29	290/18614	0.00100811	0.009526934	0.005063821	2534/5594/6714/7157	4	FYN/MAPK1/SRC/TP53
MAPK1	BP	GO:0008286	insulin receptor signaling pathway	Mar-29	128/18614	0.001018341	0.009567665	0.005085471	2885/5594/6714	3	GRB2/MAPK1/SRC
MAPK1	BP	GO:0038127	ERBB signaling pathway	Mar-29	131/18614	0.00108881	0.01011217	0.00537489	2885/5594/6714	3	GRB2/MAPK1/SRC
MAPK1	BP	GO:0035270	endocrine system development	Mar-29	137/18614	0.001238853	0.011060698	0.005879058	5594/4087/4088	3	MAPK1/SMAD2/SMAD3
MAPK1	BP	GO:0071375	cellular response to peptide hormone stimulus	Apr-29	308/18614	0.001259647	0.011135312	0.005918717	2885/5594/6714/7532	4	GRB2/MAPK1/SRC/YWHAG
MAPK1	BP	GO:0009112	nucleobase metabolic process	Feb-29	34/18614	0.001274773	0.011135312	0.005918717	978/5594	2	CDA/MAPK1
MAPK1	BP	GO:0050852	T cell receptor signaling pathway	Mar-29	140/18614	0.001318524	0.01145556	0.006088937	11119/2534/5594	3	BTN3A1/FYN/MAPK1
MAPK1	BP	GO:0050890	cognition	Apr-29	317/18614	0.001400637	0.011856515	0.006302056	2033/2534/5594/6714	4	EP300/FYN/MAPK1/SRC
MAPK1	BP	GO:0071496	cellular response to external stimulus	Apr-29	327/18614	0.001569882	0.012877816	0.006844905	978/1026/5594/7157	4	CDA/CDKN1A/MAPK1/TP53
MAPK1	BP	GO:0032386	regulation of intracellular transport	Apr-29	332/18614	0.00165965	0.013354479	0.007098264	2534/5594/4088/6714	4	FYN/MAPK1/SMAD3/SRC
MAPK1	BP	GO:0034614	cellular response to reactive oxygen species	Mar-29	152/18614	0.00166931	0.013354479	0.007098264	2534/5594/6714	3	FYN/MAPK1/SRC
MAPK1	BP	GO:0062197	cellular response to chemical stress	Apr-29	349/18614	0.001991682	0.015253833	0.008107822	2534/5594/6714/7157	4	FYN/MAPK1/SRC/TP53
MAPK1	BP	GO:0045022	early endosome to late endosome transport	Feb-29	44/18614	0.002128979	0.015927917	0.008466115	5594/6714	2	MAPK1/SRC
